categoria;subcategoria;letter;mode;answer;difficulty;description;acceptedAnswers
Preguntas de cultura general;Cultura general argentina;D;startsWith;Don Segundo Sombra;normal;Novela gauchesca escrita por Ricardo Guiraldes.;
Preguntas de cultura general;Cultura general argentina;D;startsWith;Diamante;normal;Ciudad entrerriana cercana al Parque Nacional Pre-Delta.;
Preguntas de cultura general;Cultura general argentina;D;startsWith;Damas Gratis;normal;Grupo argentino muy popular de cumbia villera.;
Preguntas de cultura general;Cultura general argentina;D;startsWith;Delta del Parana;normal;Zona de islas y rios cercana a Tigre.;
Preguntas de cultura general;Cultura general argentina;D;startsWith;Dibu Martinez;normal;Arquero argentino campeon del mundo en Qatar 2022.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Empanada;normal;Comida rellena muy comun en todas las provincias argentinas.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Evita;normal;Nombre popular de Eva Duarte de Peron.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Estudiantes;normal;Club de La Plata multiple campeon de la Copa Libertadores.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Ezeiza;normal;Localidad bonaerense donde esta el principal aeropuerto internacional.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Entre Rios;normal;Provincia de la Mesopotamia argentina.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Escarapela;normal;Simbolo patrio celeste y blanco usado en fechas nacionales.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;El Ateneo;normal;Libreria porteña instalada en un antiguo teatro.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Estancia;normal;Campo tradicional argentino dedicado a actividades rurales.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;El Calafate;normal;Ciudad santacruceña cercana al glaciar Perito Moreno.;
Preguntas de cultura general;Cultura general argentina;E;startsWith;Esteros del Ibera;normal;Gran humedal de la provincia de Corrientes.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Folklore;normal;Genero musical asociado a zambas, chacareras y gatos.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Favaloro;normal;Cardiologo argentino reconocido por el bypass coronario.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Ferro;normal;Club porteño del barrio de Caballito.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Fito Paez;normal;Musico rosarino autor de El amor despues del amor.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Feria de Mataderos;normal;Feria porteña vinculada a tradiciones criollas.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Fernet;normal;Bebida muy popular en Cordoba, mezclada con gaseosa cola.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Fileteado;normal;Estilo decorativo porteño de colores vivos y letras ornamentadas.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Fragata Sarmiento;normal;Buque museo ubicado en Puerto Madero.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Formosa;normal;Provincia argentina del noreste.;
Preguntas de cultura general;Cultura general argentina;F;startsWith;Francisco;normal;Nombre papal elegido por Jorge Bergoglio.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Gardel;normal;Apellido de Carlos, figura maxima del tango cancion.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Gaucho;normal;Personaje rural emblematico de la cultura argentina.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Guarani;normal;Lengua y pueblo originario con fuerte presencia en el litoral.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Gualeguaychu;normal;Ciudad entrerriana famosa por su carnaval.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Gilda;normal;Cantante argentina muy querida de la cumbia.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Guiso de lentejas;normal;Plato caliente comun en los inviernos argentinos.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Goyeneche;normal;Apellido de Roberto, cantor de tango conocido como el Polaco.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;General Paz;normal;Avenida que marca gran parte del limite de la Ciudad de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Gran Rex;normal;Teatro porteño sobre la avenida Corrientes.;
Preguntas de cultura general;Cultura general argentina;G;startsWith;Glaciar Perito Moreno;normal;Glaciar santacruceño famoso por sus rupturas.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Humahuaca;normal;Ciudad jujeña que da nombre a una quebrada Patrimonio de la Humanidad.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Hurlingham;normal;Partido del oeste del Gran Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Hipolito Yrigoyen;normal;Primer presidente elegido bajo la Ley Saenz Peña.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Himno Nacional;normal;Cancion patria argentina.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Hornero;normal;Ave nacional argentina.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Hospital Posadas;normal;Hospital nacional ubicado en el oeste bonaerense.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Havanna;normal;Marca marplatense famosa por sus alfajores.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Historieta;normal;Formato donde brillaron personajes como Mafalda y Patoruzu.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Huracan;normal;Club de Parque Patricios apodado el Globo.;
Preguntas de cultura general;Cultura general argentina;H;startsWith;Hector Larrea;normal;Locutor y conductor historico de la radio argentina.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Iguazu;normal;Rio y cataratas ubicadas en Misiones.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Independiente;normal;Club de Avellaneda conocido como Rey de Copas.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;INCAA;normal;Instituto nacional vinculado al cine argentino.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Ischigualasto;normal;Parque sanjuanino conocido como Valle de la Luna.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Instituto;normal;Club cordobes donde se formaron varios futbolistas conocidos.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Ibera;normal;Esteros correntinos de gran biodiversidad.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Illia;normal;Presidente argentino medico de profesion.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Inmigracion;normal;Proceso clave en la formacion social argentina de fines del siglo XIX.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;INVAP;normal;Empresa argentina reconocida por tecnologia nuclear y satelital.;
Preguntas de cultura general;Cultura general argentina;I;startsWith;Iruya;normal;Pueblo salteño de montaña.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Jujuy;normal;Provincia del noroeste argentino.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Jose de San Martin;normal;Libertador nacido en Yapeyu.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Juan Manuel Fangio;normal;Quintuple campeon mundial de Formula 1.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Juana Azurduy;normal;Heroina de las guerras de independencia.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Jorge Newbery;normal;Pionero de la aviacion argentina.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Julio Cortazar;normal;Autor argentino de Rayuela.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Jose Hernandez;normal;Autor del Martin Fierro.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Juan B Justo;normal;Medico y politico fundador del Partido Socialista argentino.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Javier Milei;normal;Presidente argentino electo en 2023.;
Preguntas de cultura general;Cultura general argentina;J;startsWith;Jorge Lanata;normal;Periodista argentino de television, radio y grafica.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kirchner;normal;Apellido de Nestor, presidente argentino entre 2003 y 2007.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kempes;normal;Goleador argentino del Mundial 1978.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kavanagh;normal;Edificio historico de Retiro, en Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kilometro cero;normal;Punto desde donde se miden rutas nacionales en Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kiosco;normal;Comercio de cercania muy comun en ciudades argentinas.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kermesse;normal;Fiesta popular de juegos y puestos, comun en clubes y escuelas.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kily Gonzalez;normal;Apodo de Cristian Gonzalez, futbolista rosarino.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kolla;normal;Pueblo originario del noroeste argentino.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kicillof;normal;Apellido de Axel, gobernador bonaerense desde 2019.;
Preguntas de cultura general;Cultura general argentina;K;startsWith;Kevin Johansen;normal;Musico nacido en Alaska y criado en Argentina.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Lionel Messi;normal;Capitan argentino campeon del mundo en 2022.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;La Plata;normal;Capital de la provincia de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Litoral;normal;Region argentina vinculada a rios, chamame y yerba mate.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Locro;normal;Guiso tradicional asociado a fechas patrias.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Luna Park;normal;Estadio cubierto historico de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Les Luthiers;normal;Grupo argentino de humor musical.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Lanus;normal;Partido y club del sur del Gran Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Lujan;normal;Ciudad bonaerense famosa por su basilica.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Libertador;normal;Titulo historico asociado a San Martin.;
Preguntas de cultura general;Cultura general argentina;L;startsWith;Lavalle;normal;Calle porteña y apellido de un militar argentino.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Mate;normal;Infusion rioplatense preparada con yerba.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Mafalda;normal;Personaje de Quino.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Malvinas;normal;Islas del Atlantico Sur reclamadas por Argentina.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Mendoza;normal;Provincia argentina famosa por sus vinos.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Mercedes Sosa;normal;Cantante tucumana conocida como La Negra.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Mar del Plata;normal;Ciudad balnearia bonaerense.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Milanesa;normal;Plato popular de carne empanada.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Moria Casan;normal;Figura del teatro de revistas, vedette, actriz y conductora argentina conocida como La One.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Martin Fierro;normal;Poema gauchesco de Jose Hernandez.;
Preguntas de cultura general;Cultura general argentina;M;startsWith;Monumental;normal;Estadio de River Plate y de la seleccion argentina.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Neuquen;normal;Provincia patagonica argentina.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Nahuel Huapi;normal;Lago y parque nacional de la Patagonia.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Nestor Kirchner;normal;Presidente argentino nacido en Santa Cruz.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Nueve de Julio;normal;Avenida porteña donde se encuentra el Obelisco.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Nito Mestre;normal;Musico de Sui Generis.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Noquis;normal;Pasta que en Argentina suele comerse los dias 29.;Noquis, Ñoquis
Preguntas de cultura general;Cultura general argentina;N;startsWith;Norte Grande;normal;Region integrada por provincias del norte argentino.;
Preguntas de cultura general;Cultura general argentina;N;startsWith;Nacion;normal;Diario argentino fundado por Bartolome Mitre.;La Nacion, Nacion
Preguntas de cultura general;Cultura general argentina;N;startsWith;Newells;normal;Club rosarino donde se formo Lionel Messi.;Newell's, Newells
Preguntas de cultura general;Cultura general argentina;N;startsWith;Necochea;normal;Ciudad balnearia del sudeste bonaerense.;
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñoquis;normal;Pasta que en Argentina suele comerse el dia 29.;Noquis, Ñoquis
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñandu;normal;Ave corredora parecida al avestruz que habita zonas de Argentina.;Ñandu, Nandu
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñandubay;normal;Arbol nativo presente en zonas del litoral argentino.;Ñandubay, Nandubay
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñorquinco;normal;Localidad rionegrina de la Linea Sur.;Ñorquinco, Norquinco
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñata;normal;Apodo popular para una persona de nariz chata.;Ñata, Nata
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñacurutú;normal;Buho grande presente en varias regiones de Sudamerica.;Ñacurutu, Ñacurutú, Nacurutu
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ña Serapia;normal;Personaje popular de relatos y humor criollo.;Ña Serapia, Na Serapia
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñanduti;normal;Encaje tradicional guarani conocido en el litoral.;Ñanduti, Nanduti
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñoquiada;normal;Comida o reunion popular alrededor de ñoquis.;Ñoquiada, Noquiada
Preguntas de cultura general;Cultura general argentina;Ñ;startsWith;Ñu Pora;normal;Expresion guarani usada en nombres de lugares del litoral.;Ñu Pora, Nu Pora
Preguntas de cultura general;Cultura general argentina;O;startsWith;Obelisco;normal;Monumento ubicado sobre la avenida 9 de Julio.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Olivos;normal;Localidad donde esta la residencia presidencial argentina.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Ombu;normal;Arbol asociado a la llanura pampeana.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Osvaldo Pugliese;normal;Pianista y director de orquesta de tango.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Oscar Ruggeri;normal;Defensor campeon mundial con Argentina en 1986.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Obera;normal;Ciudad misionera.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Oran;normal;Ciudad del norte salteño.;Oran, Orán
Preguntas de cultura general;Cultura general argentina;O;startsWith;Once;normal;Barrio y estacion ferroviaria de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Orquesta Tipica;normal;Formacion musical clasica del tango.;
Preguntas de cultura general;Cultura general argentina;O;startsWith;Oeste;normal;Zona del Gran Buenos Aires donde estan Moron, Merlo e Ituzaingo.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Patagonia;normal;Region austral compartida por Argentina y Chile.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Pampa;normal;Llanura central clave para la produccion agropecuaria.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Peron;normal;Apellido de Juan Domingo, tres veces presidente argentino.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Palermo;normal;Barrio porteño grande, conocido por parques y vida nocturna.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Parana;normal;Rio y ciudad capital de Entre Rios.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Pato;normal;Deporte nacional argentino practicado a caballo.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Patoruzu;normal;Personaje clasico de la historieta argentina.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Pescado Rabioso;normal;Banda de Spinetta que edito Artaud.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Puerto Madero;normal;Barrio moderno de Buenos Aires junto al rio.;
Preguntas de cultura general;Cultura general argentina;P;startsWith;Provoleta;normal;Queso asado muy comun en parrillas argentinas.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quilmes;normal;Ciudad bonaerense y marca historica de cerveza argentina.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quebrada de Humahuaca;normal;Valle jujeño declarado Patrimonio de la Humanidad.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quino;normal;Dibujante mendocino creador de Mafalda.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Queso y dulce;normal;Postre argentino tambien llamado vigilante.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quinquela Martin;normal;Pintor argentino ligado al barrio de La Boca.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quemita;normal;Predio historico de entrenamiento de Huracan.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quinta de Olivos;normal;Residencia presidencial argentina.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Qatar 2022;normal;Mundial ganado por la seleccion argentina.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quilmes Rock;normal;Festival argentino de musica masiva.;
Preguntas de cultura general;Cultura general argentina;Q;startsWith;Quiroga;normal;Apellido del caudillo riojano Facundo.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;River Plate;normal;Club de futbol del barrio de Nuñez.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Rosario;normal;Ciudad santafesina donde nacieron Messi y el Monumento a la Bandera.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Rosas;normal;Apellido de Juan Manuel, gobernador bonaerense del siglo XIX.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Recoleta;normal;Barrio porteño famoso por su cementerio historico.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Riachuelo;normal;Nombre popular del tramo inferior del rio Matanza.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Rivadavia;normal;Apellido del primer presidente argentino.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Riquelme;normal;Enganche historico de Boca Juniors.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Raly Barrionuevo;normal;Cantautor argentino de folklore.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Ruta 40;normal;Ruta nacional que recorre el oeste argentino de norte a sur.;
Preguntas de cultura general;Cultura general argentina;R;startsWith;Resistencia;normal;Capital de la provincia del Chaco.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;San Martin;normal;Libertador argentino nacido en Yapeyu.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Sarmiento;normal;Presidente argentino asociado a la educacion publica.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Salta;normal;Provincia norteña conocida como La Linda.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Soda Stereo;normal;Trio de rock liderado por Gustavo Cerati.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Subte;normal;Nombre popular del metro de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;San Telmo;normal;Barrio porteño famoso por ferias y tango.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Sorrentinos;normal;Pasta rellena muy comun en bodegones argentinos.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Sancor;normal;Cooperativa lactea argentina.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Sierras de Cordoba;normal;Zona turistica clasica del centro del pais.;
Preguntas de cultura general;Cultura general argentina;S;startsWith;Siete Lagos;normal;Ruta escenica entre San Martin de los Andes y Villa La Angostura.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tango;normal;Genero musical y baile rioplatense.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tucuman;normal;Provincia donde se declaro la independencia argentina.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Teatro Colon;normal;Teatro lirico emblematico de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Truco;normal;Juego de cartas muy popular en Argentina.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tita Merello;normal;Actriz y cantante de tango argentina.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tren a las Nubes;normal;Atractivo turistico ferroviario de Salta.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tierra del Fuego;normal;Provincia mas austral de Argentina.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tigre;normal;Ciudad bonaerense de acceso al Delta.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Talampaya;normal;Parque nacional riojano de paredones rojizos.;
Preguntas de cultura general;Cultura general argentina;T;startsWith;Tostado;normal;Sandwich caliente frecuente en bares argentinos.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Ushuaia;normal;Ciudad fueguina promocionada como la mas austral del mundo.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;UBA;normal;Sigla de la Universidad de Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Uritorco;normal;Cerro cordobes asociado al turismo serrano.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Union Civica Radical;normal;Partido politico fundado tras la Revolucion del Parque.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Unicenter;normal;Centro comercial grande ubicado en Martinez.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;UADE;normal;Universidad privada argentina.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Universidad de Cordoba;normal;Universidad argentina fundada en el periodo colonial.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Ulises Bueno;normal;Cantante cordobes de cuarteto.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Ullum;normal;Dique y zona turistica de San Juan.;
Preguntas de cultura general;Cultura general argentina;U;startsWith;Unidad Basica;normal;Local partidario asociado al peronismo.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Vino;normal;Producto emblema de Mendoza y otras provincias argentinas.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Velez;normal;Club porteño del barrio de Liniers.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Villa Gesell;normal;Ciudad balnearia de la costa bonaerense.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Viedma;normal;Capital de Rio Negro.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Virreinato del Rio de la Plata;normal;Entidad colonial creada en 1776.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Victor Heredia;normal;Cantautor argentino de musica popular.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Villa Carlos Paz;normal;Ciudad turistica cordobesa.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Vaca Muerta;normal;Formacion de hidrocarburos no convencionales en Neuquen.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Vendimia;normal;Fiesta mendocina vinculada a la cosecha de la uva.;
Preguntas de cultura general;Cultura general argentina;V;startsWith;Vicente Lopez;normal;Partido del norte del Gran Buenos Aires.;
Preguntas de cultura general;Cultura general argentina;W;startsWith;Wos;normal;Rapero argentino surgido de competencias de freestyle.;
Preguntas de cultura general;Cultura general argentina;W;startsWith;Wanda;normal;Localidad misionera conocida por sus minas de piedras semipreciosas.;
Preguntas de cultura general;Cultura general argentina;W;startsWith;Walichu;normal;Sitio arqueologico cercano a El Calafate.;
Preguntas de cultura general;Cultura general argentina;W;startsWith;Whisky Romeo Zulu;normal;Pelicula argentina dirigida por Enrique Piñeyro.;
